Creation Time: 2023_3_6-2-19-51
2-19-51 | [INFO] TraderPlusCore - Started !
2-20-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_1\Buttstocks.json
2-20-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_1\Optics.json
2-20-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_1\Supressors.json
2-20-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_1\Compensators.json
2-20-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_1\Bayonets.json
2-20-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_1\Flashlights.json
2-20-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_2\Tools.json
2-20-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_2\Heavy Tools.json
2-20-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_2\Electronics.json
2-20-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_2\Fire & Lights.json
2-20-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_2\Cooking & Hunting Supplies.json
2-20-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_2\Hardware Supplies.json
2-20-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_2\Seeds & Lime.json
2-20-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_3\Glasses.json
2-20-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_3\Armbands.json
2-20-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_3\Gloves.json
2-20-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_3\Hats & Caps.json
2-20-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_3\Helmets.json
2-20-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_3\Masks.json
2-20-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_3\Shirts.json
2-20-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_3\Hoodies & Sweater.json
2-20-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_3\Vests.json
2-20-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_3\Jackets & Coats.json
2-20-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_3\Skirts & Dresses.json
2-20-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_3\Pants.json
2-20-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_3\Shoes & Boots.json
2-20-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_3\Ghillie.json
2-20-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_3\Holster & Pouches.json
2-20-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_3\Belt.json
2-20-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_3\Bags.json
2-20-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_4\Vehicles.json
2-20-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_4\Vehicle Parts.json
2-20-9 | [INFO] SetTradersSpawner: Started
2-20-9 | [INFO] obj created: TraderPlusSign
2-20-9 | [INFO] TraderStatic created and added!: 
2-20-9 | [INFO] obj created: SurvivorM_Jose
2-20-9 | [INFO] TraderPlayer created and added!: 
2-20-9 | [INFO] obj created: TraderPlusSign
2-20-9 | [INFO] TraderStatic created and added!: 
2-20-9 | [INFO] obj created: SurvivorM_Peter
2-20-9 | [INFO] TraderPlayer created and added!: 
2-20-9 | [INFO] obj created: TraderPlusSign
2-20-9 | [INFO] TraderStatic created and added!: 
2-20-9 | [INFO] obj created: TraderPlus_BANK_ATM
2-20-9 | [INFO] TraderStatic created and added!: 
2-20-9 | [INFO] SetTradersSpawner: Ended
2-20-9 | [INFO] SetObjectSpawner: Started
2-20-9 | [INFO] obj was not created: bldr_Misc_CrashBarrier please make sure the syntaxe is correct!
2-20-9 | [INFO] obj was not created: bldr_Misc_CrashBarrier please make sure the syntaxe is correct!
2-20-9 | [INFO] obj was not created: bldr_Misc_RoadBarrier please make sure the syntaxe is correct!
2-20-9 | [INFO] obj was not created: bldr_Wall_Barricade1_10 please make sure the syntaxe is correct!
2-20-9 | [INFO] obj was not created: bldr_Wall_Barricade1_4 please make sure the syntaxe is correct!
2-20-9 | [INFO] obj was not created: bldr_Misc_Barricade please make sure the syntaxe is correct!
2-20-9 | [INFO] obj was not created: bldr_Wall_Barricade1_4 please make sure the syntaxe is correct!
2-20-9 | [INFO] obj was not created: bldr_Wall_Barricade1_10 please make sure the syntaxe is correct!
2-20-9 | [INFO] obj was not created: bldr_Wall_Barricade1_4 please make sure the syntaxe is correct!
2-20-9 | [INFO] obj was not created: bldr_hbarrier_4m please make sure the syntaxe is correct!
2-20-9 | [INFO] obj was not created: bldr_hbarrier_4m please make sure the syntaxe is correct!
2-20-9 | [INFO] obj was not created: bldr_hbarrier_4m please make sure the syntaxe is correct!
2-20-9 | [INFO] obj was not created: bldr_hbarrier_4m please make sure the syntaxe is correct!
2-20-9 | [INFO] SetObjectSpawner: Ended
2-20-9 | [INFO] DefaultTraderStock - Started
2-32-5 | [INFO] GetSafeStatut
2-32-17 | [INFO] InsuranceRequestHandler
2-32-37 | [INFO] InsuranceRequestHandler
2-32-37 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_79984427.json
2-32-58 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_79984427.json
2-33-0 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_79984427.json
2-33-3 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_79984427.json
2-33-9 | [INFO] InsuranceRequestHandler
2-33-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_79984427.json
2-33-13 | [INFO] InsuranceRequestHandler
2-33-13 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_79984427.json
2-33-26 | [INFO] InsuranceRequestHandler
2-33-26 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_79984427.json
2-33-29 | [INFO] InsuranceRequestHandler
2-33-29 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_79984427.json
2-33-32 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_79984427.json
2-33-39 | [INFO] InsuranceRequestHandler
2-33-39 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_79984427.json
2-33-45 | [INFO] InsuranceRequestHandler
2-33-45 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_79984427.json
2-33-46 | [INFO] InsuranceRequestHandler
2-33-46 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_79984427.json
2-33-53 | [INFO] InsuranceRequestHandler
2-33-53 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_79984427.json
2-34-8 | [INFO] InsuranceRequestHandler
2-34-8 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_79984427.json
